PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10,Practical Assignment Average,Q1,Q2,Q3,Q4,Q5,Q6,Quiz Average,Assignment Average,PT1,PT2,Practical Test Average,Practical Average
1664923,100,89,50,0,20,50,94,0,0,50.375,15,10,0,6,4,10,60,50.86,70,0,35,44.51375
1664929,100,100,100,0,100,32,90,0,11,66.625,0,15,4,11,8,0,51,65.83,70,100,85,73.49625
1664944,100,51,100,95,83,50,87,72,0,79.75,6,15,4,8,10,8,63,78.9,62,75,68.5,74.7375
1665117,100,100,100,100,97,100,100,80,95,99,15,13,7,10,9,12,79,97.98,70,100,85,92.79
1665131,100,100,100,98,93,87,100,95,57,96.625,15,15,10,13,11,10,85,96.06,100,100,100,97.63625
1665843,60,0,0,0,0,0,0,0,0,7.5,0,7,4,6,5,0,29,8.592,65,0,32.5,18.155
1666440,70,35,60,47,70,0,70,59,43,56.75,15,12,13,13,3,8,81,57.98,70,80,75,64.7875
1666669,55,25,50,21,58,20,4,80,9,39.75,9,7,2,6,6,7,47,40.1,55,40,47.5,43.0575
1667778,20,28,75,39,88,92,61,90,0,61.625,12,10,5,6,6,11,60,61.54,70,75,72.5,65.92625
1668083,100,33,70,48,87,50,80,88,86,76.125,15,11,7,9,12,7,72,75.92,70,0,35,59.55125
1668107,100,100,80,42,72,95,100,60,0,81.125,12,8,4,3,5,6,47,79.4,62,40,51,68.04125
1668136,100,51,50,0,70,50,0,44,100,58.125,12,13,4,8,9,8,67,58.55,70,75,72.5,64.13125
1668418,100,100,75,0,70,100,100,0,10,69.375,12,5,4,10,5,8,53,68.57,90,57,73.5,70.54375
1669575,100,96,100,91,92,100,100,0,92,96.375,6,7,7,9,7,8,51,94.09,75,75,75,86.45375
1669948,100,100,100,93,70,92,100,0,96,93.875,15,12,15,13,6,9,85,93.45,70,60,65,82.06875
1669971,100,100,100,94,70,100,100,0,100,95.5,12,15,7,8,5,9,68,94.13,100,100,100,96.475
1670006,100,44,75,76,68,80,100,98,90,85.875,12,10,4,10,7,9,64,84.78,65,25,45,68.86875
1670686,50,60,50,32,22,40,49,83,31,49.375,15,4,8,4,5,6,51,49.44,55,25,40,45.66375
1670925,100,100,100,96,87,100,100,99,97,99,12,15,7,10,7,15,79,97.98,100,100,100,98.79
1671111,100,36,85,31,94,90,96,75,0,75.875,15,7,2,3,6,10,55,74.81,80,60,70,72.88875
1671412,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0.8,0,0,0,0.48
1671946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1673082,100,100,100,96,70,50,83,0,0,74.875,0,12,8,0,11,10,55,73.86,33,100,66.5,70.91875
1673213,100,56,45,91,70,90,100,88,0,80,12,10,0,3,0,0,33,77.67,0,50,25,56.6
1673310,85,57,75,78,100,50,73,92,10,76.25,15,10,10,15,3,13,84,76.64,100,100,100,85.9825
1675037,100,100,90,75,100,100,33,0,0,74.75,15,9,13,13,10,10,81,75.08,100,100,100,85.0475
1675098,100,95,100,100,96,75,100,46,30,89,15,9,2,10,8,7,65,87.82,70,20,45,70.69
1678599,100,100,100,26,0,0,0,0,0,40.75,15,7,10,8,11,0,68,42.11,95,75,85,59.2675
1682017,60,0,75,31,49,40,70,0,0,40.625,0,0,0,2,4,11,23,39.73,0,0,0,23.83625
1684715,75,85,85,33,94,92,90,73,5,78.375,15,8,2,6,5,6,53,77.12,60,0,30,58.27375
1684787,85,91,85,100,72,50,0,0,85,71,0,12,0,0,6,0,24,68.65,100,100,100,81.19
1684796,100,100,100,90,97,96,100,71,50,94.25,15,15,10,11,9,12,84,93.74,100,100,100,96.2425
1684805,100,100,100,100,100,100,100,95,100,100,15,15,15,15,15,14,100,100,100,100,100,100
