CSC Averages
PeopleSoft Number,Prac Assignment Average,Quiz Average,Prac Test Average,Practical Average
1721006,59,59.38,57.5,58.63
1721092,73.375,72.37,67.5,70.42375
1721270,85.75,85.06,97.5,90.0375
1721783,85.375,83.97,100,90.38375
1723790,67.75,67.3,95,78.3775
1723902,81.625,81.48,60,72.88625
1724731,75.5,74.79,75,74.875
1724811,68.5,67.28,100,80.365
1725105,97.5,97.43,100,98.455
1725372,12.5,11.88,0,7.125
1725524,93.125,92.4,100,95.44125
1726166,61.75,60.73,20,44.4375
1726366,93.125,91,87.5,89.60125
1726612,73.5,72.49,100,83.495
1726770,93.75,93.13,100,95.8775
1726816,73.375,72.97,10,47.78375
1727439,85.125,85,100,91.00125
1727440,83.25,81.62,87.5,83.9725
