CSC Quizes
PeopleSoft Number,Q1,Q2,Q3,Q4,Q5,Q6
1698290,0,3,0,7,6,7
1698359,15,10,2,9,9,10
1698430,15,15,15,15,11,13
1698565,9,12,4,8,6,6
1698724,15,8,2,15,5,8
1698727,0,0,0,0,0,0
1698814,9,9,2,6,4,8
1698818,12,10,10,7,7,11
1698919,12,13,7,13,13,13
1698954,12,12,8,12,10,9
1698983,12,7,4,8,3,11
1699014,12,9,5,4,10,10
1699020,12,9,11,9,10,11
1699085,12,10,2,5,6,7
1699124,9,8,2,9,9,12
1699141,15,7,8,8,5,9
1699163,12,15,13,11,10,13
1699337,9,12,7,3,1,9
1699457,15,10,7,15,11,9
1699539,9,9,10,7,8,8
1699545,15,15,2,13,10,11
1699600,12,12,4,7,7,10
1699729,15,5,4,4,6,11
1699730,0,10,7,10,9,9
1700248,12,6,4,12,3,11
1700396,9,12,7,4,5,9
1700580,12,9,8,9,10,10
1700591,9,9,7,7,8,7
1700674,0,0,0,0,0,0
1701048,15,9,4,13,14,13
1701218,0,0,0,0,0,0
1701229,12,12,4,11,11,8
1701603,12,9,2,6,6,10
1701720,9,7,7,6,3,10
1702043,12,11,0,7,8,5
1702185,12,15,4,7,8,6
1702202,12,7,4,2,4,9
1702365,12,15,4,6,9,9
1702618,15,10,5,9,0,8
1702894,12,4,7,7,4,11
1703214,12,0,0,5,4,0
1703300,15,15,4,6,10,6
1703357,12,4,2,0,0,0
1703544,15,8,4,4,6,8
1703608,15,12,2,8,4,11
1703616,12,10,2,10,7,5
1703808,9,10,0,5,8,7
1703844,12,7,2,7,13,9
1703920,0,12,5,5,10,0
1704006,15,12,10,15,8,13
1704035,15,12,4,11,7,14
1704040,12,10,8,9,9,14
1704062,12,15,11,11,11,10
1704160,15,10,7,12,4,12
1704181,15,9,2,6,11,7
1704400,12,12,8,10,8,6
1704469,15,12,7,13,10,13
1704578,15,15,5,9,9,0
1704591,9,10,2,8,8,7
1704867,15,10,6,8,3,11
1705027,12,13,2,6,5,9
1705054,15,7,4,6,4,9
1705253,12,12,4,6,9,0
1705469,12,15,15,13,11,8
1705636,15,15,10,12,11,12
1705730,12,8,2,7,3,11
1705876,12,7,5,2,4,9
1705886,15,7,0,6,0,8
1706378,15,7,0,9,8,9
1706860,12,9,7,7,0,8
1707088,15,12,4,10,4,12
1707176,12,13,2,4,7,0
1707225,12,8,4,9,8,9
1707452,9,5,7,10,7,12
1707717,15,7,4,2,4,6
1707795,15,7,4,11,9,11
1708176,3,12,0,0,0,0
1708177,6,9,2,3,6,12
1708293,12,5,2,5,2,5
1708424,12,12,13,9,9,11
1708471,15,13,0,7,0,0
1708639,12,12,8,12,12,13
1708838,15,9,2,5,10,0
1708941,0,12,0,0,0,0
1708962,12,15,8,12,7,13
1709419,9,15,13,13,10,10
1709525,15,7,2,5,5,7
1709767,0,0,0,0,0,0
1709872,12,9,2,2,2,0
1709978,12,13,7,7,7,0
1710034,12,8,7,11,7,9
1710106,12,7,2,8,12,8
1710513,6,9,2,2,6,5
1710537,12,12,0,3,9,9
1710816,12,15,15,15,7,7
1710884,15,5,4,8,5,7
1711127,12,5,4,1,7,6
1711129,15,12,8,9,5,5
1711305,6,12,7,8,3,6
1711381,9,5,0,4,3,9
1711465,9,8,2,12,7,11
1711482,15,15,15,9,10,11
1711656,6,15,5,6,8,5
1712350,15,5,2,6,5,7
1712382,12,7,4,9,5,6
1713382,15,13,2,11,4,11
1713480,12,4,2,0,2,4
1713628,9,12,9,8,10,10
1713644,15,11,6,5,4,11
1713666,9,0,0,0,0,0
1713992,15,7,6,9,8,9
1714017,12,8,2,8,7,8
1714202,12,10,7,9,5,11
1714236,12,5,2,1,2,9
1714332,0,0,0,0,0,0
1714694,12,11,4,5,2,6
1714733,15,15,9,8,0,8
1714854,12,12,7,12,11,12
1714968,15,7,2,9,7,10
1715004,12,9,4,6,6,8
1715299,15,15,15,11,11,11
1715600,0,12,0,0,0,0
1715830,15,10,3,0,5,9
1716523,12,12,4,10,8,13
1716564,15,15,4,7,5,12
1717740,12,13,10,11,4,11
1717881,12,0,2,6,8,10
1717987,15,12,2,5,8,8
1718677,12,3,4,2,3,6
1718684,12,7,5,5,6,11
1718916,12,13,4,10,3,8
1719944,0,0,0,0,0,0
1719949,12,10,7,5,4,12
1720199,6,10,2,4,2,7
1720627,12,8,7,4,4,10
1721006,12,12,8,7,5,11
1721092,6,15,0,6,4,9
1721270,15,8,11,11,6,9
1721783,12,13,2,9,0,7
1723790,15,4,10,4,4,11
1723902,15,9,2,15,8,12
1724731,12,5,8,12,4,9
1724811,9,9,4,4,7,4
1725105,15,15,9,15,13,14
1725372,0,0,0,0,0,0
1725524,15,10,4,11,11,12
1726166,12,5,4,5,4,5
1726366,12,7,0,5,6,8
1726612,6,9,4,9,9,7
1726770,15,12,10,11,10,13
1726816,12,7,10,9,8,10
1727439,12,15,13,13,9,6
1727440,9,7,4,7,7,8
