CSC Assignments
PeopleSoft Number,A1,A2,A3,A4,A5,A6,A7,A9,A10
1695331,100,100,100,100,96,100,74,85,0
1695599,100,90,100,95,89,96,91,83,44
1695677,100,100,100,96,87,100,100,65,13
1695932,100,85,0,48,63,0,28,75,15
1695982,100,100,75,73,65,48,61,85,0
1696007,100,100,90,85,0,0,0,85,0
1696082,100,86,75,65,85,40,100,0,91
1696083,100,28,75,91,70,80,80,52,0
1696093,80,75,55,50,17,68,80,60,90
1696222,100,100,100,100,83,100,100,85,50
1696259,100,91,100,82,93,92,96,90,59
1696395,100,100,100,96,86,100,100,0,85
1696474,100,98,100,96,96,100,100,92,100
1696534,100,100,100,94,90,100,100,87,0
1696583,100,92,70,70,91,77,96,0,0
1696800,100,100,100,89,90,45,29,76,65
1696950,100,0,90,0,88,18,100,68,8
1696996,100,100,100,100,100,100,100,78,0
1696998,95,31,85,65,82,50,79,67,0
1697030,100,100,100,100,86,71,100,68,85
1697070,100,100,90,96,88,90,100,70,0
1697304,100,100,100,96,94,100,100,80,88
1697355,100,100,100,96,97,85,100,0,73
1697467,100,100,100,69,84,88,100,71,0
1697486,100,100,100,94,68,100,90,0,82
1697510,80,96,85,32,84,35,0,0,85
1697511,35,46,44,41,54,18,61,70,0
1697521,100,100,100,73,83,100,100,85,80
1697545,100,66,70,42,70,20,0,0,0
1697559,100,100,100,96,95,100,83,40,90
1697567,100,100,100,100,100,100,100,0,100
1697586,0,0,0,0,0,0,0,0,0
1697612,100,0,0,0,0,0,0,0,0
1697829,100,100,100,100,95,80,100,70,100
1697836,100,100,70,0,0,0,0,60,0
1698119,100,100,100,100,96,91,100,0,10
1698290,0,95,25,0,31,0,0,0,0
1698359,100,96,100,94,93,81,100,0,93
1698430,100,100,100,100,88,100,100,82,80
1698565,95,100,100,94,93,87,100,100,91
1698724,100,100,95,100,89,85,61,98,93
1698727,0,0,0,0,0,0,0,0,0
1698814,100,80,90,67,79,48,0,59,0
1698818,100,80,70,0,74,66,4,0,33
1698919,100,100,100,96,99,92,100,91,98
1698954,100,100,100,96,76,71,100,0,0
1698983,100,15,0,34,77,0,29,72,15
1699014,55,76,75,80,77,20,12,95,47
1699020,100,100,100,94,92,100,96,0,100
1699085,100,96,90,0,29,0,54,85,50
1699124,100,100,100,87,94,45,96,92,0
1699141,100,100,100,100,100,100,100,99,100
1699163,100,100,100,100,88,96,96,79,81
1699337,90,56,100,92,32,0,0,0,0
1699457,100,100,100,94,95,92,91,90,15
1699539,100,100,100,70,86,77,83,0,100
1699545,100,90,100,88,93,92,100,0,88
1699600,100,91,100,93,87,100,100,63,60
1699729,100,100,100,94,92,96,100,70,71
1699730,100,84,70,28,35,0,0,63,87
1700248,95,100,90,98,97,90,86,0,0
1700396,100,100,100,94,84,96,100,69,65
1700580,90,65,100,92,81,85,17,0,15
1700591,100,41,100,41,89,90,100,51,18
1700674,0,0,0,0,0,0,0,0,0
1701048,100,100,100,61,85,50,80,0,0
1701218,0,0,0,0,0,0,0,0,0
1701229,100,100,100,72,78,86,83,50,0
1701603,100,100,100,88,70,90,83,95,0
1701720,95,13,20,12,78,35,80,62,15
1702043,100,88,100,9,93,90,96,90,0
1702185,100,31,70,33,63,50,79,50,0
1702202,100,100,100,100,91,92,100,85,97
1702365,100,93,100,98,80,100,100,75,90
1702618,90,100,0,0,31,72,0,92,0
1702894,70,91,40,0,70,0,96,55,0
1703214,60,100,11,39,39,44,74,0,13
1703300,100,100,90,86,65,100,96,57,0
1703357,100,85,70,74,28,0,0,42,15
1703544,100,31,39,31,31,0,0,69,0
1703608,100,69,90,98,90,90,74,78,17
1703616,100,100,100,95,96,35,90,73,0
1703808,100,66,95,97,96,67,46,62,15
1703844,100,80,60,55,46,48,100,0,0
1703920,100,100,100,95,76,92,75,0,95
1704006,100,91,100,92,58,100,100,60,90
1704035,100,100,100,96,93,100,100,0,100
1704040,100,100,95,94,91,100,100,65,94
1704062,100,100,100,100,70,100,96,88,60
1704160,100,80,75,51,52,30,12,90,25
1704181,100,40,70,53,84,76,96,65,5
1704400,100,100,100,0,59,96,83,0,0
1704469,100,62,100,98,95,92,100,65,87
1704578,100,100,100,98,87,92,18,0,28
1704591,100,100,100,96,92,96,100,0,97
1704867,100,52,100,61,80,50,86,78,74
1705027,100,100,100,80,87,50,100,75,0
1705054,100,100,95,85,88,85,65,0,97
1705253,100,31,100,90,70,0,0,0,0
1705469,100,98,100,96,91,100,100,90,100
1705636,100,82,100,91,94,82,100,0,75
1705730,100,79,75,100,81,88,100,42,13
1705876,100,51,70,47,31,50,0,90,25
1705886,100,35,65,53,49,39,0,0,52
1706378,100,92,70,52,70,77,85,0,0
1706860,100,83,95,65,78,77,65,70,0
1707088,100,30,100,98,90,100,100,0,69
1707176,100,43,50,59,63,58,100,0,0
1707225,100,100,100,96,96,100,100,90,96
1707452,50,31,75,57,70,50,79,90,0
1707717,70,72,40,50,16,62,0,0,0
1707795,100,100,100,96,98,100,96,66,60
1708176,100,40,0,0,0,0,0,55,0
1708177,95,76,60,96,75,70,90,90,0
1708293,100,100,50,0,61,0,0,0,82
1708424,90,100,100,97,88,92,96,0,14
1708471,100,41,20,4,0,0,56,0,0
1708639,100,100,100,100,100,100,100,86,100
1708838,90,67,0,30,46,8,79,61,10
1708941,100,0,0,0,0,10,0,0,0
1708962,100,100,100,100,93,100,100,80,50
1709419,100,91,80,0,87,82,100,0,10
1709525,100,92,60,51,64,60,100,0,12
1709767,0,0,0,0,0,0,0,0,0
1709872,60,85,59,26,19,50,100,98,15
1709978,100,0,0,12,12,75,80,90,95
1710034,100,100,90,98,80,77,100,0,0
1710106,90,36,75,38,88,77,87,79,84
1710513,100,96,100,80,94,20,24,71,90
1710537,100,0,100,96,56,72,90,0,39
1710816,100,100,90,94,31,67,51,50,0
1710884,70,91,100,0,43,54,100,54,95
1711127,90,31,35,26,48,50,33,70,0
1711129,100,96,80,86,84,95,83,0,0
1711305,100,100,100,100,64,100,100,75,15
1711381,100,47,65,39,95,75,90,79,0
1711465,100,80,100,69,100,83,100,100,0
1711482,100,91,95,94,97,100,100,95,0
1711656,70,88,55,56,0,62,0,0,42
1712350,100,28,0,0,42,34,50,88,12
1712382,100,92,100,95,90,96,61,0,0
1713382,100,90,80,31,80,55,59,0,0
1713480,100,63,59,51,46,50,100,75,70
1713628,100,100,100,98,46,100,29,77,15
1713644,100,96,85,70,91,35,72,70,0
1713666,0,0,0,0,0,0,0,0,0
1713992,100,100,75,80,79,65,96,60,20
1714017,100,36,65,52,70,25,69,24,25
